Requirement ID,Organism,Figure/System,Frozen Requirement Type,Active Candidate,Reference,Biology,Completeness,Connections/Sequence,Labels,Leaders,EN,TA,Embedded,Source Integrity,Reference Resolution,360px,Enlarged,Overall Source State,Pending Class,Blocking?,Evidence/Exact Finding
PILA-07,Pila,Reproductive system,REQUIRED FIGURE,PILA-REP-R1,p41,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
MOL-01,Mollusca,Generalised molluscan body plan,REQUIRED FIGURE,batch3#molluscan-body-plan + Pass2 figure-specific callouts,p40,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
TOR-01,Gastropoda,Torsion process,PROCESS FIGURE REQUIRED,batch3#gastropod-torsion + Pass2 stage labels,p42,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
CEPH-01,Cephalopoda,Representative morphology / economic relevance,REQUIRED FIGURE,batch3#cephalopod + Pass2 figure-specific callouts,p43,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
AST-01,Asterias,Aboral external morphology,REQUIRED FIGURE,batch2#asterias-aboral + Pass2 papula/pedicellaria allocation,p44,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-016 → existing-structure allocation PASS
AST-02,Asterias,Oral external morphology,REQUIRED FIGURE,batch2#asterias-oral,p44,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
AST-03,Asterias,Water-vascular system,PROTECTED MASTER,master-asterias-wvs,p44,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
AST-04,Asterias,Digestive system,REQUIRED FIGURE,ASTERIAS-DIG-R1,p44,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
AST-05,Asterias,Nervous system,REQUIRED FIGURE,batch2#asterias-nervous,p44,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
AST-06,Asterias,Reproductive system,REQUIRED FIGURE,ASTERIAS-REP-R1,p44,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,Closure-01 source core preserved; no Pass-2 redraw
ECHL-01,Echinoderm larvae,Larval-form comparison,REQUIRED FIGURE,batch3#echinoderm-larvae + Pass2 figure-specific labels,p46,PASS,PASS,PASS,PASS,PASS,PASS,PASS — VERIFIED/TRANSLITERATION,PIPELINE-DEPENDENT,PASS-SOURCE,PASS,PIPELINE-DEPENDENT,PIPELINE-DEPENDENT,SOURCE PASS,PIPELINE-DEPENDENT,NO,SG-001 → P2-B3 re-audit PASS
